Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Location_encoded,Year,Month,Day,DayOfWeek,Hour,Season,Season_encoded,Comfort_Index
Philadelphia,2023-05-12 19:00:00,-0.7602044819681213,0.9321535979628307,-0.7987890842362241,1.3501091560923597,5,2023,5,12,4,19,Spring,1,-1.5685536409018856
San Jose,2021-03-02 06:00:00,-0.5619459054032705,-1.0984093854508992,-0.7468515861966645,-0.2529709669476889,9,2021,3,2,1,6,Spring,1,0.45965735677705677
Houston,2021-01-29 18:00:00,0.7590473363112534,0.058422172785321407,-0.29288032140014475,-0.2863680743714263,2,2021,1,29,4,18,Winter,3,0.5331726372549102
Phoenix,2023-08-25 00:00:00,0.5043107174131163,-0.1239730412222321,-0.6157948854286353,0.06279774152138835,6,2023,8,25,4,0,Summer,2,0.3656127706128689
Dallas,2022-01-06 11:00:00,-1.0697653350381695,-0.6834957694052493,-0.3199648645241498,-0.6877232334214197,1,2022,1,6,3,11,Winter,3,0.04178508952741308
New York,2023-03-01 08:00:00,-0.6984087362762691,-0.4103937084951011,-0.0030900597207665866,0.6204554289341365,4,2023,3,1,2,8,Spring,1,-0.39244751097493136
Phoenix,2023-01-01 05:00:00,0.7173726698549389,-2.175714274993155,0.1054522373646465,0.899135309595325,6,2023,1,1,6,5,Winter,3,1.5119990829852736
New York,2022-11-21 22:00:00,-0.38477411621168583,1.4583722430397708,-0.4978865221842145,1.0879165164358853,4,2022,11,21,0,22,Fall,0,-1.5815645718219213
New York,2023-03-06 08:00:00,1.2001249307662658,-0.4815057962365901,-0.7988521458619795,-1.5835555143228817,4,2023,3,6,0,8,Spring,1,1.6332106867707197
Houston,2020-04-27 03:00:00,-1.531640413399833,1.4597084994238203,-0.8136079317045131,0.6556968781564282,2,2020,4,27,0,3,Spring,1,-2.1243453536140695
San Antonio,2021-04-07 23:00:00,-0.17272737941491678,-1.0179942270433477,-0.5891763152757173,-1.3331719618004023,7,2021,4,7,2,23,Spring,1,1.0465470435565651
San Antonio,2022-07-02 06:00:00,-0.6108300302303984,0.5115089617935739,0.6869400926580179,0.1881996104981855,7,2022,7,2,5,6,Summer,2,-0.7743739088737598
New York,2020-03-26 09:00:00,0.3294988021177576,1.4959335188977596,2.343821373740614,0.1988511091409117,4,2020,3,26,3,9,Spring,1,-0.8388332690694319
San Antonio,2020-11-04 08:00:00,1.0951339517900338,1.2056925300384296,1.1662466502716862,0.9620113291185277,7,2020,11,4,2,8,Fall,0,-0.46546462287640344
San Diego,2023-05-05 19:00:00,-0.26425096541818677,-1.1742662729343134,-0.8288434970841776,1.3707574426982514,8,2023,5,5,4,19,Spring,1,0.08884890884688658
Houston,2020-04-16 13:00:00,-0.9493532663152401,1.1093784166674252,-0.41219758179738275,1.7010619497229966,2,2020,4,16,3,13,Spring,1,-1.9290450516380842
Houston,2022-10-27 16:00:00,-1.0611776749714894,0.0828445010002341,-0.32658322233129156,-1.1081000700775212,2,2022,10,27,3,16,Fall,0,-0.2923683695177565
San Diego,2022-07-22 07:00:00,0.8076798296068548,-0.5187412846862448,-0.22601684849389034,0.028437102867396816,8,2022,7,22,4,7,Summer,2,0.8192409240812313
Philadelphia,2022-04-06 06:00:00,0.7438930948922253,-0.687361447404597,-0.11733106877430612,1.6474552401367695,5,2022,4,6,2,6,Spring,1,0.28880882514017925
Chicago,2021-03-20 21:00:00,-0.38849019388028255,-0.3957353208471833,0.02661114497735151,0.5798786407272555,0,2021,3,20,5,21,Spring,1,-0.19712117185854122
New York,2023-04-28 12:00:00,0.6550463775735861,-0.7467207558960736,-0.3161077490313054,0.24607286575251772,4,2023,4,28,4,12,Spring,1,0.7924308149278442
New York,2020-12-08 00:00:00,-0.25528473564768056,-0.6021759408099681,1.1350790650459555,0.8512588359288822,4,2020,12,8,1,0,Winter,3,-0.08277093998468252
Phoenix,2022-02-18 15:00:00,0.9437963340496094,-1.9160608457645005,-0.2035220726701168,0.2470657084733141,6,2022,2,18,4,15,Winter,3,1.7246126561867707
New York,2020-01-08 22:00:00,-1.2214366233058551,-0.6346285378511263,-0.34337777396682545,-0.44040435574765874,4,2020,1,8,2,22,Winter,3,-0.174371934231882
San Jose,2022-08-20 05:00:00,-0.8582068997602382,0.6170323764612645,-0.16427253464157285,-1.3893012407621137,9,2022,8,20,5,5,Summer,2,-0.4090729757548614
Philadelphia,2022-01-22 22:00:00,-0.18339312553872966,1.1479121970096806,0.3391894125154905,0.6766303840078444,5,2022,1,22,5,22,Winter,3,-1.1050997875313846
Philadelphia,2020-08-29 17:00:00,-1.4207075198699641,0.9488082933801478,0.648969745967087,1.262329407968457,5,2020,8,29,5,17,Summer,2,-1.9511734572486579
San Jose,2022-10-12 16:00:00,-1.4622150581039455,-1.2129062954070777,-0.5012586725501688,-1.5491368605410962,9,2022,10,12,2,16,Fall,0,0.46309015950601823
Chicago,2021-07-12 11:00:00,0.2665337842146792,0.2740338196106893,-0.4299891331406905,0.5905626301134728,0,2021,7,12,0,11,Summer,2,-0.23291083006056967
Chicago,2023-03-25 16:00:00,-0.08901174920921713,-0.6879775604242154,-0.9648641889437304,-0.6795013605937066,0,2023,3,25,5,16,Spring,1,0.6421184380458014
Phoenix,2021-08-31 07:00:00,0.902847362571434,-0.6301825766237973,-0.7623446283730454,0.42133243504786794,6,2021,8,31,1,7,Summer,2,0.8038427907314042
Houston,2020-02-06 12:00:00,-0.3201163622370577,1.5790169009401438,-0.8560948467736744,-1.2667967955629833,2,2020,2,6,3,12,Winter,3,-0.7467842516088495
Los Angeles,2021-12-10 03:00:00,-0.5263473831860507,0.6713820461852728,-0.9625497996969807,-0.35039502691856,3,2021,12,10,4,3,Winter,3,-0.6262557493585488
Chicago,2023-03-23 03:00:00,-1.1266997017660478,-0.8809506351840711,-0.9203596187996663,-0.2488149677720801,0,2023,3,23,3,3,Spring,1,-0.02821124298626239
Phoenix,2020-02-15 01:00:00,1.4789506859277795,-0.20505261199834018,-0.4230924991957794,-0.8981291505707693,6,2020,2,15,5,1,Winter,3,1.3710851664278785
Philadelphia,2022-04-15 16:00:00,-1.5421684033054697,1.3747695194544909,0.32822613668473194,0.18528325184595973,5,2022,4,15,4,16,Spring,1,-1.9014572499722278
Philadelphia,2020-12-04 18:00:00,0.7021212727963843,-0.6953559101873168,-0.5664058785488603,0.8861388225005699,5,2020,12,4,4,18,Winter,3,0.5507087295519633
Dallas,2023-03-09 20:00:00,-0.4878864366540758,-1.1341767128320983,-0.33105200433146487,-0.0932868225272277,1,2023,3,9,3,20,Spring,1,0.46890502546002627
New York,2023-01-15 06:00:00,1.6849687581595265,-1.2798929990278431,1.9600268115064357,1.3298623835990122,4,2023,1,15,6,6,Winter,3,1.3657289853271146
Houston,2022-08-28 09:00:00,0.06754019600877226,1.2274227470195085,0.1420169862597605,0.3970880459632182,2,2022,8,28,6,9,Summer,2,-0.8991906145873337
San Antonio,2023-07-14 17:00:00,0.5353233259115228,-1.342973326956593,-0.12721854273130528,1.5142956924471682,7,2023,7,14,4,17,Summer,2,0.6342147394186314
San Diego,2020-10-11 17:00:00,-0.3676236525213638,0.9542037115067808,0.7057216482210964,0.43183429355009545,8,2020,10,11,6,17,Fall,0,-1.0019282201157598
New York,2020-06-12 01:00:00,-0.03292451345289883,-0.815519325890082,-0.6856854740406342,-0.9849154687504327,4,2020,6,12,4,1,Summer,2,0.8721431303922229
Los Angeles,2023-08-26 04:00:00,0.44535568817350185,-1.2121810651331368,-0.6219912240930044,1.1858797588161458,3,2023,8,26,5,4,Summer,2,0.6163798498457899
San Jose,2021-04-14 05:00:00,-0.8847853019001896,0.9637599197698252,-0.6748068830262676,-1.317014435831608,9,2021,4,14,2,5,Spring,1,-0.676245032770396
Phoenix,2022-12-23 04:00:00,1.1564466961998214,-1.2801478101494166,-0.4562288070023747,0.23407376572940122,6,2022,12,23,4,4,Winter,3,1.4486321104465798
Chicago,2021-12-30 10:00:00,-0.32445314107757933,-0.2126525129917451,-0.5412987717120888,0.9500856938305214,0,2021,12,30,3,10,Winter,3,-0.41352048970684674
San Diego,2022-08-24 06:00:00,1.2314335911642673,0.7883285659211008,-0.895972195515341,1.3845295963677386,8,2022,8,24,2,6,Summer,2,-0.2689423437965307
Houston,2020-01-31 08:00:00,-0.38706797956507116,0.7458634166955844,1.2435269960247781,-0.38352499714900273,2,2020,1,31,4,8,Winter,3,-0.5768321993129673
Dallas,2022-10-16 10:00:00,-0.5225471942698119,1.3607078881917627,1.9890433550767899,0.2510106941480958,1,2022,10,16,6,10,Fall,0,-1.2924588937143247
Phoenix,2022-09-09 08:00:00,0.281499451300492,-1.2633698953473254,-0.7662621497361256,1.5348375943919637,6,2022,9,9,4,8,Fall,0,0.41974028156796706
Dallas,2020-02-14 06:00:00,-0.2559681475422161,-1.2520823667994427,-0.21069672221968128,-0.2032970942941083,1,2020,2,14,4,6,Winter,3,0.7278988419961298
San Antonio,2021-01-06 20:00:00,-1.1675996579583732,-0.3932861722038251,-0.880379922156058,-1.2315072204397186,7,2021,1,6,2,20,Winter,3,-0.004037482656491269
San Jose,2021-12-23 09:00:00,-1.0903084155948815,-1.174363345077004,0.19705810341824437,-1.4733847613679099,9,2021,12,23,3,9,Winter,3,0.6377964116032258
Los Angeles,2022-08-29 18:00:00,0.4222995470722682,0.6469291192758573,-0.9198443221749253,-1.4317977517547686,3,2022,8,29,0,18,Summer,2,0.37137790019680295
Chicago,2023-03-24 23:00:00,-1.73500038798187,0.9588741942284412,1.9235782220368938,1.671936910358653,0,2023,3,24,4,23,Spring,1,-2.3020002781195013
Houston,2022-09-18 19:00:00,-1.3841328445159449,0.22649333353473539,0.4896624783663679,0.19923270675603588,2,2022,9,18,6,19,Fall,0,-1.0677262039986788
San Jose,2023-03-20 02:00:00,-0.2629412292581816,-1.3873471747042736,-0.3750008620894117,-1.530074413319192,9,2023,3,20,0,2,Spring,1,1.3030433345041172
San Diego,2021-06-30 12:00:00,-0.34792455135356753,0.988122071980591,0.35249511261050653,0.6216056881704299,8,2021,6,30,2,12,Summer,2,-1.082159210396243
Dallas,2023-11-16 22:00:00,-1.1157652151059145,0.1262110970199204,-0.43377142197318996,1.0385873629898517,1,2023,11,16,3,22,Fall,0,-1.149845853995681
Phoenix,2022-05-06 15:00:00,0.7494416020967345,-1.3394902088922132,3.9284463086660613,-1.4698250394340768,6,2022,5,6,4,15,Spring,1,1.8696225481767448
Chicago,2023-06-18 18:00:00,-0.21810543171928556,0.4219706216807399,0.17983502354991768,-0.15848686472522244,0,2023,6,18,6,18,Summer,2,-0.3474939777131948
Phoenix,2020-05-18 18:00:00,1.1971140677611136,-0.24620052101321452,-0.9579952020475517,-0.7563137380830345,6,2020,5,18,0,18,Spring,1,1.1725320572942546
San Diego,2022-11-04 21:00:00,1.6250962807296936,-0.6085553967857804,-0.7968896798361514,-0.1269476836061478,8,2022,11,4,4,21,Fall,0,1.4353871622074401
San Jose,2023-08-23 01:00:00,-1.0759674829524857,-0.642055369442736,-0.5596266724288005,-0.8286866220689733,9,2023,8,23,2,1,Summer,2,0.06347585821442471
Philadelphia,2021-07-04 16:00:00,1.536370952916926,-0.6273602187739113,-0.8620456339462357,-1.4615459593803437,5,2021,7,4,6,16,Summer,2,1.8881080310520606
Philadelphia,2020-08-26 01:00:00,-1.7808566279788118,-0.200879978670611,-0.13823951918625052,1.441783793063985,5,2020,8,26,2,1,Summer,2,-1.4951703815636495
San Jose,2022-03-13 07:00:00,-0.09702953041163831,-0.9380348858296202,-0.4770940699031501,0.9541818912619935,9,2022,3,13,6,7,Spring,1,0.19302762759966513
Los Angeles,2020-12-16 15:00:00,0.9127044193260438,1.463825884501616,-0.5337895155581364,0.8576633080449697,3,2020,12,16,2,15,Winter,3,-0.7053010996072246
Dallas,2022-04-26 05:00:00,0.02309550354794678,-1.2346548415581169,-0.9669460214085139,-1.2629851753195933,1,2022,4,26,1,5,Spring,1,1.2804471238643196
Phoenix,2023-05-01 05:00:00,1.8024041096107477,-0.8593436756205266,-0.2436838589701333,0.8588083113542132,6,2023,5,1,0,5,Spring,1,1.340500046245373
Chicago,2022-09-09 06:00:00,-0.7069578589712036,-0.10162335351156679,-0.8666566088585587,1.5618964432570945,0,2022,9,9,4,6,Fall,0,-0.9463452772293489
Houston,2022-07-03 13:00:00,0.7072593129367536,1.9713917214183148,0.4035310489166914,-1.5624727967182173,2,2022,7,3,6,13,Summer,2,-0.261708045588055
San Diego,2021-08-26 17:00:00,-1.87799364788567,1.013243230147762,-0.6382216416455387,1.0877576105843518,8,2021,8,26,3,17,Summer,2,-2.208066728878744
Phoenix,2022-10-08 21:00:00,0.56566367491841,-0.5662922933139676,-0.11712468302149456,-0.07064435626950108,6,2022,10,8,5,21,Fall,0,0.7385355732550053
San Antonio,2020-02-22 04:00:00,1.2904875519107692,-0.797135297263089,-0.8583808381756691,-1.673897001510021,7,2020,2,22,5,4,Winter,3,1.9260318462145107
Philadelphia,2020-11-30 01:00:00,0.6608800574889118,-0.2722960260198567,-0.431758346175213,1.3900601578362295,5,2020,11,30,0,1,Fall,0,0.06516749702067173
Houston,2023-04-20 00:00:00,1.6132248721378382,0.9138129297121735,-0.03592153139309855,1.2461122864505692,2,2023,4,20,3,0,Spring,1,-0.06495768098569775
Phoenix,2022-04-07 08:00:00,0.8477893402093531,-1.4436642440725294,-0.7069976084531323,-0.14266209424069035,6,2022,4,7,3,8,Spring,1,1.5050329021296855
Los Angeles,2020-11-26 21:00:00,-1.0060938192303814,0.43368705177855943,-0.7309873787039063,-1.4627068126199743,3,2020,11,26,3,21,Fall,0,-0.3539015630734274
Dallas,2022-10-05 22:00:00,-0.3351540125099441,-1.0457324607053504,-0.8403217264494401,-1.2458503827419496,1,2022,10,5,2,22,Fall,0,0.9326454161780011
San Diego,2022-01-31 07:00:00,1.5418385707151225,-0.9161208704228637,-0.7917678858679243,-1.5832335741298356,8,2022,1,31,0,7,Winter,3,2.123208596551884
Phoenix,2022-07-04 09:00:00,0.5235563883801555,-2.0687583922237107,-0.8104159331803493,-1.4184867634840264,6,2022,7,4,0,9,Summer,2,2.183616795177228
New York,2021-12-05 11:00:00,-0.813657832021099,0.05316198755320707,0.162476037166331,-1.5885943001664862,4,2021,12,5,6,11,Winter,3,0.05653975426829067
Dallas,2022-07-29 14:00:00,-1.4772669139584909,0.4175845204021438,-0.9193998142883059,1.284738048967134,1,2022,7,29,4,14,Summer,2,-1.6507768442233937
New York,2023-05-23 09:00:00,-0.05986584274881171,0.15027656438405823,1.5607580110767214,-0.9107719972003505,4,2023,5,23,1,9,Spring,1,0.2039497815763528
San Antonio,2020-03-29 13:00:00,-0.20664546129281652,-0.0665211012403746,0.36525673703146855,-1.5976487326843598,7,2020,3,29,6,13,Spring,1,0.5089049377566123
San Diego,2020-08-01 14:00:00,0.8074447013803079,0.7739058923611635,-0.973484898222797,1.2628207578770647,8,2020,8,1,5,14,Summer,2,-0.47408465282514833
Philadelphia,2023-12-15 18:00:00,0.2418542019980425,-0.7107559066242992,-0.6921310902013533,-0.42457061485688036,5,2023,12,15,4,18,Winter,3,0.7648869664649973
San Jose,2020-02-14 06:00:00,-1.3365418222359953,-0.4618410349069323,-0.877337661210949,1.3431116313856584,9,2020,2,14,4,6,Winter,3,-1.0178787485659462
Houston,2020-09-14 00:00:00,-0.6083870027246473,1.5342046536140792,0.5448592733020532,-0.007285118846262367,2,2020,9,14,0,0,Fall,0,-1.3613685143613643
Houston,2022-12-22 05:00:00,1.634616637084266,0.9909157942763396,-0.8684594774484781,-0.7466263436863082,2,2022,12,22,3,5,Winter,3,0.6372475806062846
Philadelphia,2022-03-07 19:00:00,0.31176926160949825,0.4703285940861078,-0.1626112669934895,-0.49754316004434906,5,2022,3,7,0,19,Spring,1,0.07140549452553559
Philadelphia,2020-06-07 20:00:00,-0.8790074500179678,0.007471344292576221,0.8890534839185287,-1.4212934266530743,5,2020,6,7,6,20,Summer,2,-0.01597937228082774
San Diego,2023-02-17 14:00:00,-0.5063385897100483,1.045277373365684,-0.9515219590702424,-1.6611611984469588,8,2023,2,17,4,14,Winter,3,-0.36960400159451445
Phoenix,2021-03-25 11:00:00,1.443910407904386,-2.8688118959676054,2.6693394084020365,-0.03378234968433586,6,2021,3,25,3,11,Spring,1,2.7507336801655238
Philadelphia,2021-07-05 10:00:00,-0.09378068040012841,0.9824753073620627,0.25702766649382985,0.11875165451851458,5,2021,7,5,0,10,Summer,2,-0.7364385801038394
San Jose,2022-08-03 20:00:00,-0.9259105922049791,-0.47301851371849435,-0.4528303988050433,0.024291395337983905,9,2022,8,3,2,20,Summer,2,-0.27019747222748064
New York,2020-03-26 08:00:00,0.34441118359160977,0.3669965538633477,-0.6653730759418014,0.2778761507206512,4,2020,3,26,3,8,Spring,1,-0.1293624247103575
Houston,2022-04-18 16:00:00,-0.7047993384035985,1.2476787578172124,-0.21203653063210456,-1.0292025124083728,2,2022,4,18,0,16,Spring,1,-0.8562703243097304
San Diego,2023-12-03 19:00:00,-1.0501967606362475,-0.6751279648745129,0.13429763662016206,0.8943419060480514,8,2023,12,3,6,19,Winter,3,-0.5382975637785715
San Diego,2023-09-07 13:00:00,-0.8224100453179631,1.3005983458346426,0.762692955198101,1.5996989457556599,8,2023,9,7,3,13,Fall,0,-1.9373220416337251
Phoenix,2020-12-22 23:00:00,-0.0642248264875713,0.016604149720378988,-0.7759805641480866,-0.4178737496061379,6,2020,12,22,1,23,Winter,3,0.1049000916038505
New York,2020-08-13 15:00:00,0.35337781965921816,0.7764987451211893,0.5950313362771666,1.11788332027509,4,2020,8,13,3,15,Summer,2,-0.7000265736099824
Phoenix,2022-03-14 10:00:00,1.1965318536491987,-0.9369723269595156,-0.267504513096391,-0.4881277081562127,6,2022,3,14,0,10,Spring,1,1.5191811333924832
San Jose,2022-02-10 16:00:00,-0.7592046201510215,0.6690030270183126,1.2838047437470221,0.4255035266230208,9,2022,2,10,3,16,Winter,3,-1.055005455855819
New York,2022-06-15 22:00:00,1.721035291365996,-0.1361661021031013,-0.14693624010714693,-0.5000721043390155,4,2022,6,15,2,22,Summer,2,1.3271780117968888
San Antonio,2022-02-04 21:00:00,-2.601276628799257,-0.4462713969224622,0.3007123977328515,0.665271143141544,7,2022,2,4,4,21,Winter,3,-1.5509457766209092
Houston,2021-10-02 14:00:00,1.5412476658024654,1.9722885154040504,-0.3235704597772686,0.8297058671363199,2,2021,10,2,5,14,Fall,0,-0.6387210765962523
Houston,2021-03-25 13:00:00,0.9187390708507355,1.7526015609112517,-0.8505648661144737,-1.0195102458154461,2,2021,3,25,3,13,Spring,1,-0.19215839398149226
Los Angeles,2023-09-06 09:00:00,0.8958542119787436,0.02553886691010892,0.39389742606682415,-1.3695334596445887,3,2023,9,6,2,9,Fall,0,1.0398436382705445
Houston,2020-09-21 23:00:00,0.1224871703510303,1.2284836430057422,-0.34129218981545945,-0.31549114119062366,2,2020,9,21,0,23,Fall,0,-0.6019978803659596
Los Angeles,2021-11-17 14:00:00,1.8203297795647106,0.3313475631780234,-0.17475510640561956,0.7426316291545889,3,2021,11,17,2,14,Fall,0,0.6249989189696433
Phoenix,2020-08-28 19:00:00,-0.6790536530504958,-1.5318122672390524,1.924234215820494,-1.195826868633159,6,2020,8,28,4,19,Summer,2,1.0176952717215986
San Diego,2021-12-24 16:00:00,1.1963187959962895,-0.6711030320406748,0.28439896340370474,0.31825762832441373,8,2021,12,24,4,16,Winter,3,1.048195566579837
Houston,2021-10-01 07:00:00,0.561151581957764,1.5959811459885254,-0.8395747685918017,0.26082812501393765,2,2021,10,1,4,7,Fall,0,-0.784643295853957
San Jose,2022-05-05 10:00:00,-0.012733766763056039,0.7353450630898539,1.7061529312647479,1.4637986155058762,9,2022,5,5,3,10,Spring,1,-1.0258585283893675
San Antonio,2023-12-11 00:00:00,2.371710248848558,-0.25251015003316024,-0.9482361980046181,-0.5695239543275813,7,2023,12,11,0,0,Winter,3,1.8265147603799612
Houston,2023-09-12 09:00:00,0.605386895767504,0.7753934846651134,-0.4989714045126084,0.12687594114892872,2,2023,9,12,1,9,Fall,0,-0.17753297277643987
Philadelphia,2020-12-23 09:00:00,-1.8459049553952023,1.2681781431721193,-0.12410822656961606,-1.6108622964214836,5,2020,12,23,2,9,Winter,3,-1.352494499597744
Chicago,2020-03-23 22:00:00,-3.1117595087352594,-0.9360469583402165,-0.9699817367190079,-0.6512330251630747,0,2020,3,23,0,22,Spring,1,-1.0587702848838572
Philadelphia,2022-03-06 17:00:00,-0.5203306902322289,-1.1707248846195835,4.735754727283383,0.005640097023565844,5,2022,3,6,6,17,Spring,1,0.43597815492837244
New York,2020-03-14 07:00:00,-1.3831667648273493,-1.2242193865851838,0.3751158791163901,-1.0010462000915077,4,2020,3,14,5,7,Spring,1,0.3155597906426981
Chicago,2023-03-11 05:00:00,-0.8342725808143798,-1.313586180849152,-0.36860071015088275,0.22140224851998686,0,2023,3,11,5,5,Spring,1,0.25608577048381
Los Angeles,2023-10-29 08:00:00,-0.06629746681376013,0.8497610969906113,-0.4033819087836156,0.08208372369965093,3,2023,10,29,6,8,Fall,0,-0.6202397399076477
New York,2023-01-19 01:00:00,1.3962484139545912,-1.119108011698855,-0.5992490144627973,-1.4639465808486511,4,2023,1,19,3,1,Winter,3,2.121027404166858
Chicago,2021-06-29 07:00:00,-0.26181572491675026,-0.6234250569474592,1.2618606834479122,0.08962018632649943,0,2021,6,29,1,7,Summer,2,0.20939196749236688
New York,2021-11-15 22:00:00,0.2565629309471464,0.5084055222734636,-0.9769442191389873,-0.9594872219504138,4,2021,11,15,0,22,Fall,0,0.18429124047399087
San Diego,2023-07-02 06:00:00,-0.20585821523359102,0.5463715020075065,-0.9844699243926992,-1.3654261436709167,8,2023,7,2,6,6,Summer,2,0.02715585132780081
Phoenix,2020-10-07 02:00:00,0.9047493778715154,-0.7741576539335826,0.6241351347495341,1.6813315593077063,6,2020,10,7,2,2,Fall,0,0.43083166065049583
San Diego,2022-02-27 10:00:00,0.8763226103304611,1.397557178017029,1.87141556942283,-1.238084957690773,8,2022,2,27,6,10,Winter,3,0.09239142996119298
San Antonio,2021-12-22 23:00:00,-0.005461448896078471,0.7337653262194158,0.8712731970487194,-1.3011298386331107,7,2021,12,22,2,23,Winter,3,0.004895893427598778
Chicago,2021-07-31 11:00:00,-0.980867643600844,0.46157050075450384,0.2070148474613746,1.4123276011304013,0,2021,7,31,5,11,Summer,2,-1.4225876180052484
Phoenix,2022-07-23 03:00:00,1.6150014338067835,-1.821476985376876,-0.9696222407119136,1.1369012871935327,6,2022,7,23,5,3,Summer,2,1.7444748795088367
Phoenix,2021-07-04 21:00:00,0.3685681838738577,-0.6189381920938266,-0.5558658828803474,1.2416497501587733,6,2021,7,4,6,21,Summer,2,0.165265458894696
Chicago,2022-01-10 11:00:00,0.7577053308626182,0.9209799097236071,-0.45321644336445016,-1.6466034058575063,0,2022,1,10,0,11,Winter,3,0.4792680914693786
Dallas,2023-11-20 16:00:00,-0.2752425275427257,-0.6656223294617744,-0.8549358033533678,1.151627509844652,1,2023,11,20,0,16,Fall,0,-0.16536602597956895
Houston,2021-04-18 20:00:00,1.2018798857594986,1.8492347932855417,-0.2536451769421482,1.0831724007051595,2,2021,4,18,6,20,Spring,1,-0.8609642115207562
Dallas,2023-08-11 21:00:00,0.9427110490143238,-1.2239297923145458,-0.48719611951722847,-0.010651095999090945,1,2023,8,11,4,21,Summer,2,1.372181964316803
San Antonio,2021-11-27 21:00:00,0.020378990955005515,0.33741963437801464,0.08413561161205106,-1.1199872876209718,7,2021,11,27,5,21,Fall,0,0.20970910704157744
New York,2022-09-28 03:00:00,0.7689005783192076,0.8362471221086817,-0.45870245839043056,-0.5052075794565646,4,2022,9,28,2,3,Fall,0,0.11763803588433229
Philadelphia,2022-03-13 02:00:00,-0.09171663141398052,-1.2207847786516652,0.8013866241457557,-0.21823470041814544,5,2022,3,13,6,2,Spring,1,0.8137761762334008
Houston,2022-12-07 08:00:00,-0.16356421917689887,1.6273657529682666,-0.06621729240923875,1.5455566401303467,2,2022,12,7,2,8,Winter,3,-1.7250472980617457
San Antonio,2022-08-22 14:00:00,-2.0509294974186827,0.15979713656418254,-0.8283862067662141,1.1743568624156653,7,2022,8,22,0,14,Summer,2,-1.7944710153968317
